id;product_id;bank_id;name;search_name
Demand Deposits;bancobic;Conta à Ordem Financial Asset Financial Assets> Financial Assets> 50.000,00€;Conta à Ordem (5), Conta à Ordem Emigrantes (5), Conta Ordenado XL (12), Conta Cool (contratações anteriores a 13 de novembro de 2014)  (4)(3). Contas fora de comercialização: Conta à Ordem Sucursal Financeira Exterior Madeira (5)(6), Conta Privilégio 55 (5)(7), Conta Ordenado  Privilégio 55 (7)(12)(13) Património financeiro
Demand Deposits;bancobic;Demand Deposit Account with Future;Conta à Ordem com Futuro
Demand Deposits;bancobic;Cool Account (for contracts from 13 for november 2014);Conta Cool (contratações a partir de 13 de novembro 2014)
Demand Deposits;bancobic;Demand Deposits Account for Insolvency;Conta à Ordem Massa Insolvente
Demand Deposits;bancobic;BIC Account for International Account;Conta BIC Salário Internacional (Fora de comercialização)
Demand Deposits;bancobic;EuroBic Prime Account with paycheck domiciliation with bonus conditions;Conta EuroBic Prime com domiciliação de vencimento Com condições de bonificação
Demand Deposits;bancobic;EuroBic Prime Account with paycheck domiciliation without bonus conditions;Conta EuroBic Prime sem domiciliação de vencimento Sem condições de bonificação
Demand Deposits;bancobic;EuroBic 365 Account with paycheck domiciliation without bonus conditions;Conta EuroBic 365 com domiciliação de vencimento Sem condições de bonificação
Demand Deposits;bancobic;EuroBic 365 Account with paycheck domiciliation with bonus conditions;Conta EuroBic 365 com domiciliação de vencimento Com condições de bonificação
Demand Deposits;bancobic;EuroBic Senior Account without crédit and resources =< 35.000€;Conta EuroBic Sénior Sem crédito de vencimento e recursos ≤ 35.000 €
Demand Deposits;bancobic;EuroBic Senior Account with credit and resources > 35000€;Conta EuroBic Sénior com crédito de vencimento ou recursos > 35.000 €
Demand Deposits;bancobic;EuroBic Plus Account (out of market) without maturity credit;Conta EuroBic Mais (Fora de comercialização) Sem crédito de vencimento
Demand Deposits;bancobic;EuroBic Plus Account (out of market) with maturity credit;Conta EuroBic Mais (Fora de comercialização) com crédito de vencimento
