id;fee_id;subproduct_id;document_id;name;amount;category;tax;tax_amount;tax_category;status
;Cash deposit at the counter (>= 100 coins);Conta à Ordem Financial Asset Financial Assets> 15.000,00€ e ≤ 50.000,00€;;placeholder - bancobic;1;;;;;
;Cash deposit at the counter (>= 100 coins);Conta à Ordem Financial Asset Financial Assets> Financial Assets> 50.000,00€;;placeholder - bancobic;1;;;;;
;Cash deposit at the counter (>= 100 coins);Demand Deposit Account with Future;;placeholder - bancobic;1;;;;;
;Cash deposit at the counter (>= 100 coins);Cool Account (for contracts from 13 for november 2014);;placeholder - bancobic;1;;;;;
;Cash deposit at the counter (>= 100 coins);Demand Deposits Account for Insolvency;;placeholder - bancobic;1;;;;;
;Cash deposit at the counter (>= 100 coins);BIC Account for International Account;;placeholder - bancobic;1;;;;;
;Cash deposit at the counter (>= 100 coins);EuroBic Prime Account with paycheck domiciliation with bonus conditions;;placeholder - bancobic;1;;;;;
;Cash deposit at the counter (>= 100 coins);EuroBic Prime Account with paycheck domiciliation without bonus conditions;;placeholder - bancobic;1;;;;;
;Cash deposit at the counter (>= 100 coins);EuroBic 365 Account with paycheck domiciliation without bonus conditions;;placeholder - bancobic;1;;;;;
;Cash deposit at the counter (>= 100 coins);EuroBic 365 Account with paycheck domiciliation with bonus conditions;;placeholder - bancobic;1;;;;;
;Cash deposit at the counter (>= 100 coins);EuroBic Senior Account without crédit and resources =< 35.000€;;placeholder - bancobic;1;;;;;
;Cash deposit at the counter (>= 100 coins);EuroBic Senior Account with credit and resources > 35000€;;placeholder - bancobic;1;;;;;
;Cash deposit at the counter (>= 100 coins);EuroBic Plus Account (out of market) without maturity credit;;placeholder - bancobic;1;;;;;
;Cash deposit at the counter (>= 100 coins);EuroBic Plus Account (out of market) with maturity credit;;placeholder - bancobic;1;;;;;
;Documents replacement;Conta à Ordem Financial Assets≤ 2.500,00€;;placeholder - bancobic;0;;;;;
;Documents replacement;Conta à Ordem Financial Assets> 2.500,00€ e ≤ 5.000,00€;;placeholder - bancobic;0;;;;;
;Documents replacement;Conta à Ordem Financial Assets> 5.000,00€ e ≤ 15.000,00€;;placeholder - bancobic;0;;;;;
;Documents replacement;Conta à Ordem Financial Asset Financial Assets> 15.000,00€ e ≤ 50.000,00€;;placeholder - bancobic;0;;;;;
;Documents replacement;Conta à Ordem Financial Asset Financial Assets> Financial Assets> 50.000,00€;;placeholder - bancobic;0;;;;;
;Documents replacement;Demand Deposit Account with Future;;placeholder - bancobic;0;;;;;
;Documents replacement;Cool Account (for contracts from 13 for november 2014);;placeholder - bancobic;0;;;;;
;Documents replacement;Demand Deposits Account for Insolvency;;placeholder - bancobic;0;;;;;
;Documents replacement;BIC Account for International Account;;placeholder - bancobic;0;;;;;
;Documents replacement;EuroBic Prime Account with paycheck domiciliation with bonus conditions;;placeholder - bancobic;0;;;;;
;Documents replacement;EuroBic Prime Account with paycheck domiciliation without bonus conditions;;placeholder - bancobic;0;;;;;
;Documents replacement;EuroBic 365 Account with paycheck domiciliation without bonus conditions;;placeholder - bancobic;0;;;;;
;Documents replacement;EuroBic 365 Account with paycheck domiciliation with bonus conditions;;placeholder - bancobic;0;;;;;
;Documents replacement;EuroBic Senior Account without crédit and resources =< 35.000€;;placeholder - bancobic;0;;;;;
;Documents replacement;EuroBic Senior Account with credit and resources > 35000€;;placeholder - bancobic;0;;;;;
;Documents replacement;EuroBic Plus Account (out of market) without maturity credit;;placeholder - bancobic;0;;;;;
;Documents replacement;EuroBic Plus Account (out of market) with maturity credit;;placeholder - bancobic;0;;;;;
